NAID,Q5. Example 1: Types of decisions [Organization] needs to improve,acode1,acode2,acode3,acode4,acode5,acode6,acode7,acode8,acode9,acode10
10000001,Adding headcount to assist with volume of work,2,,,,,,,,,
10000003,Organizational structure,5,,,,,,,,,
10000006,Understanding that we need to focus on improving our current operations and streamlining it while we thinking about growth and the future,4,54,,,,,,,,
10000007,I don't have a specific example to share,98,,,,,,,,,
10000008,A better balance between the needs of the business and the wants of the regulatory requirements.,98,,,,,,,,,
10000009,Performance decisions,27,,,,,,,,,
10000011,REF,99,,,,,,,,,
10000013,Which systems to use - Seems like we have multiply systems that perform the same function,6,,,,,,,,,
10000015,"The program we use to pick is very limited in its abilities and is causing productivity losses during the picking process, such as causing unneeded congestion and not allowing team members to do tasks that would help keep inventory in line and maintain output.",53,,,,,,,,,
10000016,Communication within the business - CFA Supply can do a better job of communicating changes that are being made and that are on the horizon within the business. This can be a struggle as we grow but communication is vitally important.,8,54,,,,,,,,
10000017,"EY resourcing and length on projects. Right now, there are 3 consultants assigned to Nashville MDC project plan smartsheet. Does this need this much staffing? - Better rolloff plan of EY consultants and then staff filling these roles. Ensuring staff takes priority on strategic decisions/projects vs. consultants -Better tell the story of a consultants role onboarding and offboarding to the organization so those within CFA Supply have a clear idea",2,4,,,,,,,,
10000018,"This is a very tough topic to tackle given the fluid dynamics we've seen in the industry driven in large by CV, supply chain disruption & growing demand.  With that said, network strategy formulation & decisions seem to be disjointed; guiding information/analysis seems to have gaps which leads to extended development window, too many iterations/options to whittle down in determining best course",54,25,,,,,,,,
10000020,"communication across teams, we are hiring and spreading so quickly that many times teams or individuals ultimately get missed",2,8,,,,,,,,
10000023,Network strategy.,98,,,,,,,,,
10000024,CFA Supply is continuing to improve on our network strategy and adapting to the model we would like to use. I think this is a current challenge but as we continue to scale there will be clarity around these decisions. There has been a lot of muddy water and I believe we have applied a better filter now. Growing pains.,54,12,,,,,,,,
10000025,Speed at which the company scales to ensure it is done with excellence,13,,,,,,,,,
10000026,"Ensure work life balance is correct. Employees are dedicated, but feels like most folks have a lot on their plate. Having CFA Supply provide guidance to help with that would be great.",98,,,,,,,,,
10000028,N/A,99,,,,,,,,,
10000030,Observation of work/life balance through right timing of communications.,8,,,,,,,,,
10000031,CFA Supply could improve on deciding upon and implementing the tools and systems needed to fulfill their commitments before taking them on in order to better set ourselves up for success.,98,,,,,,,,,
10000032,Chick-fil-A Supply and CFA Inc Supply Chain could improve on collaborating. It feels like both teams operate within their own separate space and we could have more of a team mentality!,25,,,,,,,,,
10000033,"Data driven decisions:  sometimes we do data driven decision making, other times it's a gut feel.  Data should be collected, manually if necessary, around processes that need to be improved.  After an improvement is made, collect the data again and verify an improvement actually happened! Ask about automation in the warehouse: that's too expensive.  At what cost point would it not be too expensive?  No answer.",49,59,,,,,,,,
10000034,The speed of decision making can be improved.  The business is moving so fast that the planning process feels very rushed in order to plan for the growth and scale.,54,13,,,,,,,,
