Id,Body,Tag
1,Adding headcount to assist with volume of work,2
3,Understanding that we need to focus on improving our current operations and streamlining it while we thinking about growth and the future,54
3,Understanding that we need to focus on improving our current operations and streamlining it while we thinking about growth and the future,4
8,Which systems to use - Seems like we have multiply systems that perform the same function,6
9,"The program we use to pick is very limited in its abilities and is causing productivity losses during the picking process, such as causing unneeded congestion and not allowing team members to do tasks that would help keep inventory in line and maintain output.",53
10,Communication within the business - CFA Supply can do a better job of communicating changes that are being made and that are on the horizon within the business. This can be a struggle as we grow but communication is vitally important.,54
10,Communication within the business - CFA Supply can do a better job of communicating changes that are being made and that are on the horizon within the business. This can be a struggle as we grow but communication is vitally important.,8
11,"EY resourcing and length on projects. Right now, there are 3 consultants assigned to Nashville MDC project plan smartsheet. Does this need this much staffing? - Better rolloff plan of EY consultants and then staff filling these roles. Ensuring staff takes priority on strategic decisions/projects vs. consultants -Better tell the story of a consultants role onboarding and offboarding to the organization so those within CFA Supply have a clear idea",2
11,"EY resourcing and length on projects. Right now, there are 3 consultants assigned to Nashville MDC project plan smartsheet. Does this need this much staffing? - Better rolloff plan of EY consultants and then staff filling these roles. Ensuring staff takes priority on strategic decisions/projects vs. consultants -Better tell the story of a consultants role onboarding and offboarding to the organization so those within CFA Supply have a clear idea",4
12,"This is a very tough topic to tackle given the fluid dynamics we've seen in the industry driven in large by CV, supply chain disruption & growing demand.  With that said, network strategy formulation & decisions seem to be disjointed; guiding information/analysis seems to have gaps which leads to extended development window, too many iterations/options to whittle down in determining best course",54
13,"communication across teams, we are hiring and spreading so quickly that many times teams or individuals ultimately get missed",2
13,"communication across teams, we are hiring and spreading so quickly that many times teams or individuals ultimately get missed",8
15,CFA Supply is continuing to improve on our network strategy and adapting to the model we would like to use. I think this is a current challenge but as we continue to scale there will be clarity around these decisions. There has been a lot of muddy water and I believe we have applied a better filter now. Growing pains.,54
15,CFA Supply is continuing to improve on our network strategy and adapting to the model we would like to use. I think this is a current challenge but as we continue to scale there will be clarity around these decisions. There has been a lot of muddy water and I believe we have applied a better filter now. Growing pains.,12
16,Speed at which the company scales to ensure it is done with excellence,13
19,Observation of work/life balance through right timing of communications.,8
23,The speed of decision making can be improved.  The business is moving so fast that the planning process feels very rushed in order to plan for the growth and scale.,13
23,The speed of decision making can be improved.  The business is moving so fast that the planning process feels very rushed in order to plan for the growth and scale.,54
25,"The IT organizational design is confusing for Team Members. Example includes DTT ETS and entity IT co-existing vs combining into one group. Also, entity IT is made of exclusively Supply Team Members who serve both entities, but only subject to Supply incentive distributions.",53
27,(More of an overall Inc. problem) but need to provide better technology / tools to host hybrid meetings in the office and have it be consistent in every room.,6
29,i think BCF needs better communication with CFA Inc. there are systems and programs that should be shared with BCF team members but cannot because of security restrictions.  Example Atrium Talks- Many BCF team members are denied access because they are not a Services employee but listed as Operations,8
39,Technology (e.g. software to facilitate and support operations and compliance).,6
40,"Hiring priority.  I've heard unhappiness from the warehouse operation leaders on how long it took to fill key roles there.  While that was happening, support services were adding staff and asking more from the ops team.",2
40,"Hiring priority.  I've heard unhappiness from the warehouse operation leaders on how long it took to fill key roles there.  While that was happening, support services were adding staff and asking more from the ops team.",70
40,"Hiring priority.  I've heard unhappiness from the warehouse operation leaders on how long it took to fill key roles there.  While that was happening, support services were adding staff and asking more from the ops team.",4
43,"Silos create some degree of disjointed decisions.   Example: implications of adding additional new restaurants creates great stress through the organization beyond real estate:  development, constructions, selection, launch support",53
45,Clarity around how much detail is needed for projects/decisions to move forward. We do a lot of work for projects that may never progress.,12
46,"Chick-fil-A needs to have more clarity on decision-making ownership.  Even at the officer level, it is not clear who has the final say on most decisions.",70
46,"Chick-fil-A needs to have more clarity on decision-making ownership.  Even at the officer level, it is not clear who has the final say on most decisions.",12
