,Body,acode1,acode2,acode3,acode4,acode5,acode6,acode7,acode8,acode9,acode10,pcode1,pcode2,pcode3,pcode4,pcode5,pcode6,pcode7,pcode8,pcode9,pcode10
0,adding headcount to assist with volume of work,2,,,,,,,,,,2,,,,,,,,,
1,understanding that we need to focus on improving our current operations and streamlining it while we thinking about growth and the future,4,54,,,,,,,,,54,,,,,,,,,
2,which systems to use seems like we have multiply systems that perform the same function,6,,,,,,,,,,,,,,,,,,,
3,the program we use to pick is very limited in its abilities and is causing productivity losses during the picking process such as causing unneeded congestion and not allowing team members to do tasks that would help keep inventory in line and maintain output,53,,,,,,,,,,53,,,,,,,,,
4,communication within the business cfa supply can do a better job of communicating changes that are being made and that are on the horizon within the business this can be a struggle as we grow but communication is vitally important,8,54,,,,,,,,,13,54,,,,,,,,
5,ey resourcing and length on projects right now there are consultants assigned to nashville mdc project plan smartsheet does this need this much staffing better rolloff plan of ey consultants and then staff filling these roles ensuring staff takes priority on strategic decisions projects vs consultants better tell the story of a consultants role onboarding and offboarding to the organization so those within cfa supply have a clear idea,2,4,,,,,,,,,2,,,,,,,,,
6,this is a very tough topic to tackle given the fluid dynamics we ve seen in the industry driven in large by cv supply chain disruption growing demand with that said network strategy formulation decisions seem to be disjointed guiding information analysis seems to have gaps which leads to extended development window too many iterations options to whittle down in determining best course,54,,,,,,,,,,13,54,,,,,,,,
7,communication across teams we are hiring and spreading so quickly that many times teams or individuals ultimately get missed,2,8,,,,,,,,,2,,,,,,,,,
8,cfa supply is continuing to improve on our network strategy and adapting to the model we would like to use i think this is a current challenge but as we continue to scale there will be clarity around these decisions there has been a lot of muddy water and i believe we have applied a better filter now growing pains,12,54,,,,,,,,,13,54,,,,,,,,
9,speed at which the company scales to ensure it is done with excellence,13,,,,,,,,,,13,,,,,,,,,
10,observation of work life balance through right timing of communications,8,,,,,,,,,,,,,,,,,,,
11,the speed of decision making can be improved the business is moving so fast that the planning process feels very rushed in order to plan for the growth and scale,13,54,,,,,,,,,13,54,,,,,,,,
12,the it organizational design is confusing for team members example includes dtt ets and entity it co existing vs combining into one group also entity it is made of exclusively supply team members who serve both entities but only subject to supply incentive distributions,53,,,,,,,,,,53,,,,,,,,,
13,more of an overall inc problem but need to provide better technology tools to host hybrid meetings in the office and have it be consistent in every room,6,,,,,,,,,,6,,,,,,,,,
14,i think bcf needs better communication with cfa inc there are systems and programs that should be shared with bcf team members but cannot because of security restrictions example atrium talks many bcf team members are denied access because they are not a services employee but listed as operations,8,,,,,,,,,,6,,,,,,,,,
15,technology e g software to facilitate and support operations and compliance,6,,,,,,,,,,6,,,,,,,,,
16,hiring priority i ve heard unhappiness from the warehouse operation leaders on how long it took to fill key roles there while that was happening support services were adding staff and asking more from the ops team,2,4,70,,,,,,,,2,70,,,,,,,,
17,silos create some degree of disjointed decisions example implications of adding additional new restaurants creates great stress through the organization beyond real estate development constructions selection launch support,53,,,,,,,,,,53,,,,,,,,,
18,clarity around how much detail is needed for projects decisions to move forward we do a lot of work for projects that may never progress,12,,,,,,,,,,,,,,,,,,,
19,chick fil a needs to have more clarity on decision making ownership even at the officer level it is not clear who has the final say on most decisions,12,70,,,,,,,,,,,,,,,,,,
